"","site_network_id","site","variable","date_started","date_ended","data_table","site_name","latitude","longitude","altitude","network_parameter_id","network_id","network_name","site_type","region","agglomeration","database_name","site_friendly","variable_friendly"
"108",1244,"5140","Cl",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",748,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","cl"
"109",1269,"5140","NO2",1993-02-02,1995-01-03,"md_measurement","Achanarras",NA,NA,"98",996,"35","Other Acid deposition measurements",NA,"Highland",NA,"scotarc","5140","no2"
"110",1237,"5140","pH",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",741,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","ph"
"111",1262,"5140","r",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",771,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","rain"
"112",1255,"5140","Mg(D)",1986-05-27,2001-01-02,"md_measurement","Achanarras",NA,NA,"98",761,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","mg(d)"
"113",1248,"5140","cond",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",754,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","cond"
"114",1241,"5140","Na",1986-05-27,NA,"md_measurement","Achanarras",NA,NA,"98",745,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","na"
"115",1266,"5140","rem a",1987-01-13,1998-01-06,"md_measurement","Achanarras",NA,NA,"98",775,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","rem_a"
"116",1259,"5140","PO4-P(D)",1986-05-27,2001-01-02,"md_measurement","Achanarras",NA,NA,"98",765,"34","Weekly Rainfall (HIGH)",NA,"Highland",NA,"scotarc","5140","po4-p(d)"
"117",1671,"81890","NO2",1992-12-29,NA,"md_measurement","AIRDRIE 1N",NA,NA,"132",94,"24","NO2 Diffusion Tube",NA,"Central Scotland",NA,"scotarc","81890","no2"
"118",1672,"81891","NO2",1900-01-01,1900-01-01,"md_measurement","AIRDRIE 2N",NA,NA,"160",94,"24","NO2 Diffusion Tube",NA,"Central Scotland",NA,"scotarc","81891","no2"
"119",1763,"82279","NO2",1992-12-29,NA,"md_measurement","AIRDRIE 3N",NA,NA,"160",94,"24","NO2 Diffusion Tube",NA,"Central Scotland",NA,"scotarc","82279","no2"
"120",2890,"ALOA","M_T",2010-08-01,2015-01-13,"measurement","Alloa",56.117258,-3.791896,"21",1372,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","aloa","temp"
"121",2707,"ALOA","GE10",2006-09-20,2015-01-13,"measurement","Alloa",56.117258,-3.791896,"21",6,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","aloa","ge10"
"122",3203,"ALOA","NV10",2014-04-01,2015-01-13,"measurement","Alloa",56.117258,-3.791896,"21",1007,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","aloa","nv10"
"123",2891,"ALOA","M_SPED",2010-08-01,2015-01-13,"measurement","Alloa",56.117258,-3.791896,"21",1373,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","aloa","ws"
"124",2708,"ALOA","PM10",2006-09-20,2015-01-13,"measurement","Alloa",56.117258,-3.791896,"21",999,"saun","Scottish Automatic Urban Network","roadside","North East Scotland",NA,"scotarc","aloa","pm10"
"125",3204,"ALOA","V10",2014-04-01,2015-01-13,"measurement","Alloa",56.117258,-3.791896,"21",1008,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","aloa","v10"
"126",2892,"ALOA","M_DIR",2010-08-01,2015-01-13,"measurement","Alloa",56.117258,-3.791896,"21",1374,"saun","Scottish Automatic Urban Network",NA,"North East Scotland",NA,"scotarc","aloa","wd"
"127",1637,"81556","NO2",1992-12-29,NA,"md_measurement","ALLOA 1N",NA,NA,"20",94,"24","NO2 Diffusion Tube",NA,"Central Scotland",NA,"scotarc","81556","no2"
"128",1638,"81557","NO2",1994-01-04,1994-11-29,"md_measurement","ALLOA 2N",NA,NA,"20",94,"24","NO2 Diffusion Tube",NA,"Central Scotland",NA,"scotarc","81557","no2"
"129",578,"50003","SO2",1961-04-04,1963-04-01,"md_measurement","ALLOA 3",NA,NA,NA,37,"smso2","Smoke and SO2 Network",NA,"Central Scotland",NA,"scotarc","50003","so2"
"130",579,"50003","bs",1961-04-04,1963-04-01,"md_measurement","ALLOA 3",NA,NA,NA,38,"smso2","Smoke and SO2 Network",NA,"Central Scotland",NA,"scotarc","50003","bs"
"131",1639,"81558","NO2",1900-01-01,1900-01-01,"md_measurement","ALLOA 3N",NA,NA,"10",94,"24","NO2 Diffusion Tube",NA,"Central Scotland",NA,"scotarc","81558","no2"
